file,pass name,time,block_duplicate_reload,block_duplicate_spill,block_size,block_too_big,comprehensions,cost,immutable_arrays,include_functor,labeled_tuples,module_strengthening,num_groups,reload,spill,tried_to_vectorize_blocks,vectorized_block
,,s,,,,,,,,,,,,,,,
stdlib/camlinternalAtomic.ml,typing,0.003,,,,,0,,0,0,0,0,,,,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfgize,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/vectorize,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,,,,104,,,,,,,,,,,25,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/cfg_validate_description,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/cfg_simplify,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/peephole_optimize_cfg,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/save_cfg,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/cfg_reorder_blocks,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalAtomic.ml,generate/compile_phrases/regalloc/cfg/cfg_ls,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalFormatBasics.ml,typing,0.082,,,,,0,,0,0,0,0,,,,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfgize,0.001,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/vectorize,0.002,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,0.002,,,703,,,-20,,,,,20,,,124,10
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,0.001,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/cfg_irc,0.004,0,0,,,,,,,,,,22,22,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/cfg_validate_description,0.004,0,0,,,,,,,,,,22,22,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/cfg_simplify,0.001,0,0,,,,,,,,,,22,22,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/peephole_optimize_cfg,,0,0,,,,,,,,,,22,22,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/save_cfg,,0,0,,,,,,,,,,22,22,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/cfg_reorder_blocks,,0,0,,,,,,,,,,22,22,,
stdlib/camlinternalFormatBasics.ml,generate/compile_phrases/regalloc/cfg/cfg_ls,,0,0,,,,,,,,,,0,0,,
stdlib/stdlib.pp.ml,typing,0.104,,,,,0,,0,0,0,0,,,,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfgize,0.005,0,0,,,,,,,,,,0,0,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/vectorize,0.005,0,0,,,,,,,,,,0,0,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,0.004,,,2603,,,,,,,,,,,517,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,,0,0,,,,,,,,,,0,0,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,0.002,0,0,,,,,,,,,,0,0,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/cfg_irc,0.013,0,0,,,,,,,,,,104,97,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/cfg_validate_description,0.008,0,0,,,,,,,,,,112,103,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/cfg_simplify,0.003,0,0,,,,,,,,,,112,103,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/peephole_optimize_cfg,0.001,0,0,,,,,,,,,,112,102,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/save_cfg,0.001,0,0,,,,,,,,,,112,102,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/cfg_reorder_blocks,,0,0,,,,,,,,,,112,102,,
stdlib/stdlib.pp.ml,generate/compile_phrases/regalloc/cfg/cfg_ls,0.001,0,0,,,,,,,,,,8,6,,
stdlib/std_exit.ml,typing,0.001,,,,,0,,0,0,0,0,,,,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfgize,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/vectorize,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,,,,27,,,,,,,,,,,4,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/cfg_ls,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/cfg_validate_description,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/cfg_simplify,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/peephole_optimize_cfg,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/save_cfg,,0,0,,,,,,,,,,0,0,,
stdlib/std_exit.ml,generate/compile_phrases/regalloc/cfg/cfg_reorder_blocks,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,typing,0.001,,,,,0,,0,0,0,0,,,,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfgize,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/vectorize,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,,,,28,,,,,,,,,,,8,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/cfg_validate_description,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/cfg_simplify,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/peephole_optimize_cfg,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/save_cfg,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/cfg_reorder_blocks,,0,0,,,,,,,,,,0,0,,
stdlib/unit.ml,generate/compile_phrases/regalloc/cfg/cfg_ls,,0,0,,,,,,,,,,0,0,,
stdlib/mutex.ml,typing,0.006,,,,,0,,0,0,0,0,,,,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfgize,,0,0,,,,,,,,,,0,0,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/vectorize,,0,0,,,,,,,,,,0,0,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,,,,74,,,,,,,,,,,21,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,,0,0,,,,,,,,,,0,0,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,,0,0,,,,,,,,,,0,0,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/cfg_irc,,0,0,,,,,,,,,,6,5,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/cfg_validate_description,,0,0,,,,,,,,,,6,5,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/cfg_simplify,,0,0,,,,,,,,,,6,5,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/peephole_optimize_cfg,,0,0,,,,,,,,,,6,5,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/save_cfg,,0,0,,,,,,,,,,6,5,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/cfg_reorder_blocks,,0,0,,,,,,,,,,6,5,,
stdlib/mutex.ml,generate/compile_phrases/regalloc/cfg/cfg_ls,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalComprehension.ml,typing,0.004,,,,,0,,0,0,0,0,,,,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfgize,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/vectorize,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,,,,119,,,,,,,,,,,27,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,,0,0,,,,,,,,,,0,0,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/cfg_irc,0.001,0,0,,,,,,,,,,8,8,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/cfg_validate_description,0.001,0,0,,,,,,,,,,8,8,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/cfg_simplify,,0,0,,,,,,,,,,8,8,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/peephole_optimize_cfg,,0,0,,,,,,,,,,8,8,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/save_cfg,,0,0,,,,,,,,,,8,8,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/cfg_reorder_blocks,,0,0,,,,,,,,,,8,8,,
stdlib/camlinternalComprehension.ml,generate/compile_phrases/regalloc/cfg/cfg_ls,,0,0,,,,,,,,,,0,0,,
stdlib/bool.ml,typing,0.006,,,,,0,,0,0,0,0,,,,,
stdlib/bool.ml,generate/compile_phrases/regalloc/cfgize,,0,0,,,,,,,,,,0,0,,
stdlib/bool.ml,generate/compile_phrases/regalloc/cfg/vectorize,,0,0,,,,,,,,,,0,0,,
stdlib/bool.ml,generate/compile_phrases/regalloc/cfg/vectorize/vectorize_block,,,,90,,,,,,,,,,,24,
stdlib/bool.ml,generate/compile_phrases/regalloc/cfg/cfg_polling,,0,0,,,,,,,,,,0,0,,
stdlib/bool.ml,generate/compile_phrases/regalloc/cfg/cfg_deadcode,,0,0,,,,,,,,,,0,0,,
